dataset,horizon,action_id,runs,successful,frozen_loss,adapted_loss,frozen_mae,adapted_mae,normalized_gain,trainable_parameters,profiled_flops,peak_memory_mb,wall_time_s,evidence_wall_time_s
ETTh1,96,A0,9,9,0.91906347,0.91906347,0.73954305,0.73954305,0,0,0,629.22168,0,1.7457915
ETTh1,96,A1,9,9,0.91906347,1.3999294,0.73954305,0.86846543,-0.51056303,884832,4.5919554e+11,636.47119,3.5307488,1.7457915
ETTh1,96,A2,9,9,0.91906347,1.3921986,0.73954305,0.86656699,-0.50271736,1179744,9.1470251e+11,2610.7764,10.250799,1.7457915
ETTh1,96,A3,9,9,0.91906347,1.3885568,0.73954305,0.86471953,-0.4992828,1328064,9.1748494e+11,2628.9707,10.841452,1.7457915
ETTh1,96,A4,9,9,0.91906347,1.3909675,0.73954305,0.86555774,-0.50174189,1328064,9.1708481e+11,2614.3335,10.810149,1.7457915
ETTh1,96,A5,9,9,0.91906347,1.3888799,0.73954305,0.86443148,-0.499622,1476384,9.1986517e+11,2629.9463,11.23967,1.7457915
ETTh1,96,A6,9,9,0.91906347,1.3996131,0.73954305,0.86835569,-0.51020364,908832,1.1319041e+12,2641.4199,12.035106,1.7457915
ETTh1,96,A7,1,1,1.0555649,1.2855866,0.80506207,0.86669116,-0.21791337,1.1052029e+08,1.3761336e+12,3837.6709,9.7046045,1.668349
ETTh1,336,A0,9,9,1.3386008,1.3386008,0.86257605,0.86257605,0,0,0,637.6543,0,1.5929418
ETTh1,336,A1,9,9,1.3386008,1.3939458,0.86257605,0.87765892,-0.07496237,3096912,4.6117751e+11,662.60107,3.4603784,1.5929418
ETTh1,336,A2,9,9,1.3386008,1.4215823,0.86257605,0.88770693,-0.097682652,3391824,9.1767539e+11,2645.6611,10.009743,1.5929418
ETTh1,336,A3,9,9,1.3386008,1.4207801,0.86257605,0.88757185,-0.097342487,3540144,9.2045781e+11,2661.1113,10.592815,1.5929418
ETTh1,336,A4,9,9,1.3386008,1.4230997,0.86257605,0.88873237,-0.099395127,3540144,9.2005769e+11,2647.3589,10.197521,1.5929418
ETTh1,336,A5,9,9,1.3386008,1.4226956,0.86257605,0.88869132,-0.09929565,3688464,9.2283805e+11,2662.8091,10.414936,1.5929418
ETTh1,336,A6,9,9,1.3386008,1.3941647,0.86257605,0.87773069,-0.075074829,3120912,1.1348769e+12,2671.6611,11.388439,1.5929418
ETTh1,336,A7,1,1,1.954717,1.5171998,1.0056141,0.88972297,0.22382638,1.1273237e+08,1.3791065e+12,3864.1377,9.9288467,1.5929418
Exchange,96,A0,9,9,1.9703606,1.9703606,0.98360251,0.98360251,0,0,0,646.28857,0,1.5299491
Exchange,96,A1,9,9,1.9703606,4.9018226,0.98360251,1.435771,-1.37871,884832,5.247949e+11,652.6084,3.7793513,1.5299491
Exchange,96,A2,9,9,1.9703606,4.4113005,0.98360251,1.3991512,-1.2541864,1179744,1.0453743e+12,2895.3413,10.220245,1.5299491
Exchange,96,A3,9,9,1.9703606,4.3372412,0.98360251,1.3909278,-1.2183308,1328064,1.0485542e+12,2921.9199,10.084348,1.5299491
Exchange,96,A4,9,9,1.9703606,4.7819603,0.98360251,1.4434397,-1.4458028,1328064,1.0480969e+12,2900.7266,9.8359717,1.5299491
Exchange,96,A5,9,9,1.9703606,4.7469544,0.98360251,1.4394461,-1.4284179,1476384,1.0512745e+12,2923.0518,10.03297,1.5299491
Exchange,96,A6,9,9,1.9703606,4.9034275,0.98360251,1.4361059,-1.3798635,908832,1.2936006e+12,2913.146,11.65836,1.5299491
Exchange,96,A7,1,1,2.4542031,5.834007,1.0993956,1.6528269,-1.3771492,1.1052029e+08,1.5727241e+12,4200.0049,10.783398,1.7062814
Exchange,336,A0,9,9,6.369018,6.369018,1.8551976,1.8551976,0,0,0,654.80518,0,1.749181
Exchange,336,A1,9,9,6.369018,9.9481677,1.8551976,2.3051645,-0.98616884,3096912,5.2706001e+11,679.93945,3.8209265,1.749181
Exchange,336,A2,9,9,6.369018,11.720449,1.8551976,2.481442,-1.2408399,3391824,1.0487719e+12,2934.7671,10.108725,1.749181
Exchange,336,A3,9,9,6.369018,11.958317,1.8551976,2.5029399,-1.2882497,3540144,1.0519518e+12,2951.9766,10.128836,1.749181
Exchange,336,A4,9,9,6.369018,15.272074,1.8551976,2.5664072,-1.526023,3540144,1.0514945e+12,2936.4648,9.8299531,1.749181
Exchange,336,A5,9,9,6.369018,15.477742,1.8551976,2.583264,-1.5588955,3688464,1.054672e+12,2953.6743,10.103352,1.749181
Exchange,336,A6,9,9,6.369018,9.9664918,1.8551976,2.3069778,-0.9893479,3120912,1.2969982e+12,2953.6343,11.726143,1.749181
